Designation	Conditions	Count	Percent
Dark	ATAC10vsATHC10	0	0
Light	ATAC10vsATHC10	2	0.0335683
Dark	ATAC10vsHTAC10	0	0
Light	ATAC10vsHTAC10	0	0
Dark	ATAC10vsHTHC10	0	0
Light	ATAC10vsHTHC10	1	0.0167842
Dark	ATAC11vsATHC11	0	0
Light	ATAC11vsATHC11	0	0
Dark	ATAC11vsHTAC11	0	0
Light	ATAC11vsHTAC11	1	0.0167842
Dark	ATAC11vsHTHC11	0	0
Light	ATAC11vsHTHC11	0	0
Dark	ATAC12vsATHC12	0	0
Light	ATAC12vsATHC12	3	0.0503525
Dark	ATAC12vsHTAC12	0	0
Light	ATAC12vsHTAC12	0	0
Dark	ATAC12vsHTHC12	0	0
Light	ATAC12vsHTHC12	2	0.0335683
Dark	ATAC1vsATHC1	0	0
Light	ATAC1vsATHC1	16	0.268546
Dark	ATAC1vsHTAC1	0	0
Light	ATAC1vsHTAC1	3	0.0503525
Dark	ATAC1vsHTHC1	0	0
Light	ATAC1vsHTHC1	2	0.0335683
Dark	ATAC3vsATHC3	0	0
Light	ATAC3vsATHC3	2	0.0335683
Dark	ATAC3vsHTAC3	1	0.531915
Light	ATAC3vsHTAC3	6	0.100705
Dark	ATAC3vsHTHC3	7	3.7234
Light	ATAC3vsHTHC3	168	2.81974
Dark	ATAC4vsATHC4	0	0
Light	ATAC4vsATHC4	17	0.285331
Dark	ATAC4vsHTAC4	1	0.531915
Light	ATAC4vsHTAC4	27	0.453172
Dark	ATAC4vsHTHC4	12	6.38298
Light	ATAC4vsHTHC4	143	2.40013
Dark	ATAC5vsATHC5	2	1.06383
Light	ATAC5vsATHC5	51	0.855992
Dark	ATAC5vsHTAC5	0	0
Light	ATAC5vsHTAC5	12	0.20141
Dark	ATAC5vsHTHC5	0	0
Light	ATAC5vsHTHC5	2	0.0335683
Dark	ATAC6vsATHC6	5	2.65957
Light	ATAC6vsATHC6	35	0.587445
Dark	ATAC6vsHTAC6	0	0
Light	ATAC6vsHTAC6	10	0.167842
Dark	ATAC6vsHTHC6	2	1.06383
Light	ATAC6vsHTHC6	20	0.335683
Dark	ATAC7vsATHC7	0	0
Light	ATAC7vsATHC7	2	0.0335683
Dark	ATAC7vsHTAC7	32	17.0213
Light	ATAC7vsHTAC7	1451	24.3538
Dark	ATAC7vsHTHC7	0	0
Light	ATAC7vsHTHC7	16	0.268546
Dark	ATAC8vsATHC8	4	2.12766
Light	ATAC8vsATHC8	148	2.48406
Dark	ATAC8vsHTAC8	103	54.7872
Light	ATAC8vsHTAC8	1785	29.9597
Dark	ATAC8vsHTHC8	1	0.531915
Light	ATAC8vsHTHC8	25	0.419604
Dark	ATAC9vsATHC9	44	23.4043
Light	ATAC9vsATHC9	2760	46.3243
Dark	ATAC9vsHTAC9	0	0
Light	ATAC9vsHTAC9	5	0.0839208
Dark	ATAC9vsHTHC9	0	0
Light	ATAC9vsHTHC9	15	0.251762
Dark	Total	188	4.65001
Light	Total	5958	11.8353
