specific_cell_type	marker_gene_count
adult_cnidocyte	62
adult_gastrodermis_musclelike	27
adult_gastrodermis	16
adult_alga-hosting_cells	23
adult_mitotic_host_cells	39
adult_germline_sperm	393
adult_digestive_filaments	7
adult_epidermis_1	5
adult_epidermis_2	27
adult_calicoblast	38
adult_neuron_1	8
adult_neuron_2	45
adult_neuron_3	6
adult_neuron_4	11
adult_neuron_5	9
adult_neuron_6	26
adult_neuron_7	16
adult_neuron_8	27
adult_neuron_9	20
adult_neuron_10	281
adult_neuron_11	6
adult_neuron_12	91
adult_neuron_13	359
adult_neuron_14	15
adult_gland_1	10
adult_gland_2	87
adult_gland_3_digestive	17
adult_gland_4	13
adult_gland_5	41
adult_gland_6	7
adult_gland_7	12
adult_gland_8	3
adult_gland_9	14
adult_gland_10	21
adult_unknown	33
adult_immune_1	41
adult_immune_2	35
